id,make,model,year,trim,price,mileage,condition,color,category,features,status
1,Toyota,Camry,2024,LE,28990,15,New,Celestial Silver,sedan,"Toyota Safety Sense 3.0, 8-inch touchscreen, Apple CarPlay, Android Auto, adaptive cruise control",Available
2,Honda,CR-V,2024,EX-L,38450,22,New,Radiant Red Metallic,suv,"1.5L turbo, leather seats, heated front seats, panoramic moonroof, wireless charging, Honda Sensing",Available
3,Ford,F-150,2023,XLT SuperCrew,47500,8320,Certified Pre-Owned,Iconic Silver,truck,"2.7L EcoBoost V6, 12-inch touchscreen, SYNC 4, 360-degree camera, trailer tow package, bedliner",Available
4,Chevrolet,Equinox,2024,RS,33200,10,New,Sterling Gray Metallic,suv,"1.5L turbo, RS sport package, 17-inch black wheels, dual-zone climate, 11.3-inch touchscreen",Available
5,BMW,330i,2023,xDrive,44800,12450,Certified Pre-Owned,Alpine White,sedan,"2.0L TwinPower turbo, sport suspension, 12.3-inch digital cluster, leather, Harman Kardon",Reserved
6,Hyundai,Tucson,2024,SEL,31750,18,New,Amazon Gray,suv,"2.5L engine, 8-inch touchscreen, Hyundai SmartSense, blind-spot monitoring, LED headlamps",Available
7,Toyota,RAV4 Hybrid,2022,XLE,34200,18900,Certified Pre-Owned,Blueprint,suv,"2.5L hybrid, 8-inch display, Safety Sense 2.5+, power liftgate, roof rails, AWD",Available
8,Ford,Bronco Sport,2024,Big Bend,35890,30,New,Area 51 Blue,suv,"1.5L EcoBoost, SYNC 3, Co-Pilot360, terrain management, roof rack, rubberized flooring",Available
9,Honda,Civic,2023,Sport Touring,31500,5200,Certified Pre-Owned,Rallye Red,sedan,"1.5L turbo, Bose audio, wireless CarPlay, heated seats, Honda Sensing, dual exhaust",Sold
10,Chevrolet,Silverado 1500,2024,LT,49900,45,New,Northsky Blue Metallic,truck,"5.3L V8, 13.4-inch touchscreen, trailering package, remote start, multi-flex tailgate",Available
11,Kia,Telluride,2024,EX,42500,28,New,Glacial White Pearl,suv,"3.8L V6, 8-passenger seating, sunroof, heated/ventilated front seats, Highway Driving Assist",Available
12,Nissan,Altima,2024,SR,29800,12,New,Scarlet Ember Tintcoat,sedan,"2.5L engine, sport-tuned suspension, 12.3-inch touchscreen, ProPILOT Assist, Bose audio",Available
13,Subaru,Outback,2023,Limited,36400,9800,Certified Pre-Owned,Autumn Green Metallic,suv,"2.5L Boxer, EyeSight Driver Assist, 11.6-inch vertical display, leather, heated seats, AWD",Available
14,Jeep,Grand Cherokee,2024,Limited,48900,35,New,Diamond Black Crystal,suv,"3.6L V6, Uconnect 5, 10.1-inch touchscreen, Quadra-Trac II 4WD, adaptive cruise, air suspension",Reserved
15,Toyota,Corolla,2024,SE,24500,8,New,Ice Cap White,sedan,"2.0L engine, 8-inch touchscreen, Toyota Safety Sense 3.0, sport body kit, 18-inch alloys",Available
16,Hyundai,Ioniq 5,2024,SE Long Range,45200,40,New,Cyber Gray,ev,"77.4 kWh battery, 303-mile range, fast charging, 12.3-inch dual displays, Vehicle-to-Load",Available
